org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00Dao00001WblxtEAB,The Hammer Museum,001Vs00000bg8eSIAQ,YES,a3wVs000001uJVdIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:20
00D36000000vZDFEA2,Historic Oakland Foundation,0018W00002GPXFGQA5,YES,a3wVs000001uJDtIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:25
00DHr000001uApgMAE,Sullenberger Aviation Museum,0018W00002PdOdiQAF,YES,a3wVs000001uJqbIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:30
00D3t000004SsIJEA0,Echo Leahy Center for Lake Champlain,0015w00002Bk63CAAR,YES,a3wVs000001uJFVIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:44
00DDn000006zZN2MAM,Chinese Canadian Museum Society of British Columbia,0018W00001zjUhnQAE,YES,a3wVs000001uJaTIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:30:06
00DHr00000187GPMAY,Vermont Institute of Natural Science (VINS),0018W000025zXgvQAE,YES,a3wVs000001uJozIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:55
00DHs000003UvK4MAK,Grand Rapids Art Museum,0018W00002VdwenQAB,YES,a3wVs000001uJvRIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:33:28
00D4x000007uBdGEAU,Alliance For The Arts,0018W00001t7pAOQAY,YES,a3wVs000001uJH7IAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:27:46
00DDn000003oNiLMAU,Ogunquit Museum of American Art - OMAA,0015w00002eiMiKAAU,YES,a3wVs000001uJYrIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:54
00D1U0000015GkoUAE,The Wolfsonian - FIU,001f200001f7deQAAQ,YES,a3wVs000001uJAfIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:43:07
00DKc000008B94qMAC,Nutrien Wonderhub,0018W00002KRAzwQAH,YES,a3wVs000001uJyfIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:38:44
00Dao00001NqAGrEAN,Everson Museum of Art,0018W00001hi9qTQAQ,YES,a3wVs000001uJU1IAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:48
00D09000007vAJCEA2,Danish Architecture Center - DAC,0015w00002QXxPoAAL,YES,a3wVs000001uJ93IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:09
00D4x00000669ezEAA,Exploration Place,0015w000026yzjDAAQ,YES,a3wVs000001n2PtIAI,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:32:37
00D8a000001JQ5ZEAW,Art Gallery of Hamilton,0015w00002eimawAAA,YES,a3wVs000001uJLxIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:40
00D5Y000001bYzyUAE,Lotusland,0015w00002KyjhNAAR,YES,a3wVs000001uJKLIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:57
